ticker,date,trail_252_ret,bucket,fwd_21,fwd_63,fwd_126,fwd_252,max_fwd_drawdown_252,next_earnings_date,next_earn_day_ret,next_earn_ret_m1p1
MARA,2021-03-31,105.71111495524288,>=+100%,-0.23406917058139176,-0.3467305176969937,-0.36255726117131537,-0.3844231740076286,-0.7399132360626426,,,
SEZL,2024-11-18,33.729807041249444,>=+100%,-0.39418123473653566,-0.28290890510273514,0.52589180544209,-0.21348878562658336,-0.7201910397671711,2025-02-27,-0.06566957110834548,-0.023250531619782744
MARA,2021-06-02,29.780487794240695,>=+100%,0.21592713202699088,0.6081616688061364,1.023375600552224,-0.6347068006878849,-0.8817190112609027,,,
MARA,2021-10-06,19.834224056217828,>=+100%,0.6501540663831753,-0.2397330201417195,-0.37910674788238274,-0.6637576825126088,-0.9298199446761082,,,
TNDM,2019-02-13,18.178423060002437,>=+100%,0.5826481954551126,0.4751189637493174,0.2931631085935833,0.7961920045532067,-0.277732424803374,2019-02-26,0.021712142758653963,0.2791563240201924
SM,2021-11-03,18.105183821059697,>=+100%,-0.20045529558828035,-0.0028469411686505852,0.07771635782401476,0.2805448210485164,-0.44150108876575045,2022-02-25,-0.06381146342876509,0.020695477778112092
MARA,2021-01-27,16.475247312066553,>=+100%,0.7082153127570936,1.1325779151933344,0.5954674479339739,0.21586399707013948,-0.7179655655498278,,,
TNDM,2018-12-12,13.975806090325648,>=+100%,0.10985465530707184,0.9695746561123284,0.7119009928895028,0.5533117817656235,-0.277732424803374,2019-02-26,0.021712142758653963,0.2791563240201924
EXPI,2021-02-09,13.46990368707793,>=+100%,-0.3734865998964034,-0.6674325268134111,-0.37236889277481855,-0.6495892355684769,-0.709779600794371,,,
CELH,2021-04-07,11.843674697351796,>=+100%,-0.038639842179418626,0.3543277673461964,0.8338486233537095,0.09659977127291763,-0.6253354361996932,2021-05-13,0.120745709209926,0.1738564157244249
ONDS,2026-03-04,11.335681047429906,>=+100%,-0.08658418911461097,0.10466216972789155,,,-0.32842415782059997,2026-03-30,-0.07386369978593266,0.027272700672307915
ONDS,2026-05-06,11.225131112665027,>=+100%,0.11670236989084826,,,,-0.32842415782059997,2026-05-15,-0.05263159238003168,-0.1347011796381261
ACAD,2013-06-19,11.140939622015347,>=+100%,0.1066887943005177,0.31122162041337487,0.2714206636814043,0.2802653207329533,-0.40797343956863763,2013-08-06,-0.042149135756399336,-0.05558132257797199
ACAD,2013-08-21,10.940828178648587,>=+100%,0.23240834802439148,0.024777006562867188,0.4291377461075154,0.09117939171269329,-0.40797343956863763,2013-11-06,-0.07284766650417007,-0.07770420567433278
SRPT,2013-07-12,10.72751380068295,>=+100%,-0.26505751217381457,0.06429051108508133,-0.5616963793679701,-0.5077825672558722,-0.7604534470478419,2013-08-08,-0.0005424588647431339,-0.05234609061804818
ASTS,2025-04-28,10.331775145443682,>=+100%,0.02185569841837154,1.189278356807748,2.2762885339481316,1.880412308211179,-0.4701640770258677,2025-05-12,0.054347810795459806,0.030667663088487673
CLSK,2021-04-16,10.141176472238191,>=+100%,-0.22597679862517828,-0.27402325172721287,-0.19693771862378862,-0.49260826897038923,-0.7562254227831259,2021-05-06,-0.04853863844374684,0.007306857555499757
CELH,2021-02-03,9.643243394758336,>=+100%,-0.12188926122063914,-0.11968859361957507,0.2246486589324601,-0.15439313525000076,-0.6253354361996932,2021-03-11,-0.2176713133839463,-0.2536746545674923
APP,2025-02-18,9.582462370456353,>=+100%,-0.40114919600948207,-0.2527620869298135,-0.16814514898484756,-0.16935483870967738,-0.5577217840379285,2025-02-27,-0.03175229536442603,-0.015891268174093698
